activity,type,date,location,country,length (days),explaination
tayrona park,hiking,03/13/2024,Tayrona,Colombia,2,moderate walk into a national park with beautiful beaches where I was able to rent a hammock and stay for a night
el peñón de guatapé,hiking,03/19/2024,Guatapé,Colombia,1,walked up a bullet shaped rock and checked out a town
checkmat bjj,jiu jitsu,03/21/2024,Medellín,Colombia,0.1,took a no gi bjj class at a nice gym in the heart of the city
overlook hike,hiking,03/24/2024,Jardin,Colombia,0.25,walked to a cafe overlooking jardin and got a nice view of the sunset and the town lit up
seven waterfalls hike,hiking,03/25/2024,Jardin,Colombia,1,walked through the rain forest to see multiple beautiful waterfalls
cocora valley,hiking,03/28/2024,Salento,Colombia,1,"the valley where the wax palms grow in colombia. A lovely hike through the palms, horse fields and forest "
monserrate,hiking,04/04/2024,Bogotá,Colombia,0.5,walk up to a church that overlooks bogota. it rained of course
up to jesus overlook,hiking,04/06/2024,Villa de Leyva,Colombia,0.25,hiked to the lookout over the city. jesus was there
mani trail dog hike,hiking,04/07/2024,Villa de Leyva,Colombia,0.5,found a hike into the national park that was technially closed due to fire risk. met some lo
indigenous dance circle,dancing,04/11/2024,Cali,Colombia,0.25,"weekly indigenous dance circle with loud music, boisterous dancing and amazing energy"
cali street party,dancing,04/12/2024,Cali,Colombia,0.25,"weekly street party in the center of cali with cow bells, music and dancing"
san agustin tomb park,culture,04/15/2024,San Agustín,Colombia,0.25,archeological site of the tombs from the mysterious indigenous tribes from the area
santuario las lajas,hiking,04/17/2024,Ipiales,Colombia,0.25,big bloody church in the middle of a canyon
bird watching trails,hiking,04/22/2024,Mindo,Ecuador,0.25,small hiking trails through properties in mindo that apparently you can see birds on
seven waterfalls bike,biking,04/25/2024,Baños,Ecuador,1,biking along the main highway towards the amazon where there are mountains and canyons with stunning waterfalls
rock climbing,rock climbing,04/27/2024,Baños,Ecuador,0.5,rock climbing along the side of the pastaza river. fun!
waterfall and cliff jumping,swimming,04/29/2024,Baños,Ecuador,1,hangout near the pastaza river swimming and jumping on shrooms
predator bjj,jiu jitsu,04/30/2024,Baños,Ecuador,0.1,tiny gym in the town for bjj where i mostly just fought kids
predator bjj,jiu jitsu,05/02/2024,Baños,Ecuador,0.1,seminar from a really good colombian black belt. wore a child size gi
surfing,surfing,05/13/2024,Mancora,Peru,0.25,surfing the small point break in mancora
surfing,surfing,05/15/2024,Huanchaco,Peru,0.25,surfing different point breaks in the cold water of huanchaco
surfing,surfing,05/17/2024,Huanchaco,Peru,0.25,surfing different point breaks in the cold water of huanchaco with more current
huaca de la luna,culture,05/18/2024,Trujillo,Peru,0.5,visited a historical site of the moche people
nazca lines,culture,06/12/2024,Nazca,Peru,0.25,almost got stuck in the desert trying to see some nazca lines without paying for a plane
siete lagunas del asungate,hiking,06/15/2024,Cusco,Peru,1,hiking trip to see some pretty lakes and a pretty mountain with glaciers
salkantay trek,hiking,06/17/2024,Cusco,Peru,4,"the cheaper trekking way to get to machu picchu. shit weather, but great time"
machu picchu,hiking,06/21/2024,Aguas Calientes,Peru,1,ponchu picchu
inti raymi,culture,06/23/2024,Cusco,Peru,0.5,winter solstice celebration of the incas
colca canyon,hiking,06/28/2024,Arequipa,Peru,3,"hike into, around and out of the third deepest land canyon in the world"
piraí vaca concert,music,08/02/2024,Sucre,Bolivia,0.25,bolivias best guitar player absolutely ripping. loves playing cold play
motorcycle waterfall ride,motorcycle,08/10/2024,Samaipata,Bolivia,1,rented motorcycles to ride through the valley and see a beautiful waterfall
campo grande aquarium,wildlife,08/21/2024,Campo Grande,Brasil,0.25,there was a free aquarium in the middle of the city that was lovely to walk through
brasilia oscar neimeyer architecture tour,culture,08/23/2024,Brasília,Brasil,0.5,walking around the most famous buildings in the city
ecological park adventure,wildlife,08/30/2024,Belem,Brasil,0.5,met an older veterinarian who intorduced me to some animals and let me hold them. followed by him telling me about indigenous tribes lifestyles and manatee conservation
cumbu island,relaxing,09/01/2024,Belem,Brasil,0.5,"took a boat to a small island to hangout eating, drinking and swimming in the amazon"
sunset ride to pequeno lençois,motorcycle,09/04/2024,Barreirinhas,Brasil,0.25,crazy dune filled motorcycle ride wth a random brasilian guy. possible near death experience
rock with a hole in it,hiking,09/11/2024,Jericoacoara,Brasil,0.5,"walk up a hill to see dunes, down to the ocean to see a rock and along a beach"
lagoa paraiso,relaxing,09/12/2024,Jericoacoara,Brasil,0.5,hung out at a very windy dune surrounded late. napped on a beach
festa fórro psycodelico,dancing,09/12/2024,Jericoacoara,Brasil,0.25,traditional music and dancing from the north east set to glow in the dark
planeterium,science,09/13/2024,Fortaleza,Brasil,0.25,mediocre planetarium show.
morro branco,hiking,09/15/2024,Morro Branco,Brasil,0.5,walked along the dunes and in the eroded labyrinth
praia madeiro surfing,surfing,09/21/2024,Pipa,Brasil,0.5,"relaxing, smoking and surfing at the beach"
praia madeiro surfing,surfing,09/22/2024,Pipa,Brasil,0.5,"relaxing, smoking and surfing at the beach"
lencois waterfall walk,hiking,10/10/2024,Lençóis,Brasil,0.5,short hike to a local waterfall with natural pools and rocks to jump from
lencois waterfall walk,hiking,10/11/2024,Lençóis,Brasil,0.5,short hike to a local waterfall with natural pools and rocks to jump from
beach walk and fishing with locals,relaxing,10/13/2024,Moreré,Brasil,0.5,nice walk along the beaches where I ran into a family that invited me to fish with them
itacare surfing,surfing,10/17/2024,Itacaré,Brasil,0.5,attempted surfing at prainha
arrial d'ajuda day trip,culture,10/26/2024,Porto Seguro,Brasil,0.5,short day trip to go to the cute town nearby and see some touristy shops and beaches
mushroom beach day,relaxing,10/29/2024,Trancoso,Brasil,0.5,hiked out to an unpopulated area of the beach to hang out and have a little mushroom trip
arena robson santos bjj,jiu jitsu,10/30/2024,Trancoso,Brasil,0.1,first bjj class in brasil with a welcoming group with a weird hand shake
praia do satu,relaxing,11/01/2024,Caraiva,Brasil,1,walked out to a lovely beach with a cute little bar. We took some shrooms and enjoyed the vibes and met some nice people
ktg bjj,jiu jitsu,11/10/2024,Belo Horizonte,Brasil,0.1,bjj class at my favorite gym in brasil. lovely people
ktg bjj,jiu jitsu,11/11/2024,Belo Horizonte,Brasil,0.1,bjj class at my favorite gym in brasil. lovely people
inhotim,culture,11/13/2024,Belo Horizonte,Brasil,1,a famous open air art gallery spread across multiple acres of land
ktg bjj,jiu jitsu,11/14/2024,Belo Horizonte,Brasil,0.1,bjj class at my favorite gym in brasil. lovely people
mirante dos canions,hiking,11/18/2024,Capitólio,Brasil,0.5,small little park that has a nice look out point over a canyon and some waterfalls
fluminense futebol match,sports,11/22/2024,Rio de Janeiro,Brasil,0.25,went to a big futebol match in the maracana stadium. what a wild time
christ the redeemer,culture,11/25/2024,Rio de Janeiro,Brasil,0.5,went the famous big jesus
pedra do sal,dancing,11/25/2024,Rio de Janeiro,Brasil,0.25,famous street party in the center of rio
praia lopez mendes,hiking,11/27/2024,Ilha grande,Brasil,1,hiked around part of the island to see some cute beaches and the most beautiful one on the island
cachoeira do toboga,hiking,11/30/2024,Paraty,Brasil,0.5,went an hung out at the famous local waterfall where you can slide down into the pool below
recreio surfing,surfing,12/2/2024,Recreio,Brasil,0.25,longboard surfing on chill waves with some locals
recreio surfing,surfing,12/3/2024,Recreio,Brasil,0.25,longboard surfing on some chill waves with locals
atos bjj,jiu jitsu,12/4/2024,Recreio,Brasil,0.1,no gi class at a well know gym with some really great athletes
ktg bjj,jiu jitsu,12/6/2024,Belo Horizonte,Brasil,0.1,final class with my lovely gym in bh
forro class,dancing,12/10/2024,São Paulo,Brasil,0.1,forro class with maria
praia do pontal do atalaia,hiking,12/12/2024,Arraial do Cabo,Brasil,0.5,"small hike to get an overlook of arraial do cabo, and get to a beautiful beach"
santo amaro favela baile,dancing,12/15/2024,Rio de Janeiro,Brasil,0.1,baile funke party
dois irmaos,hiking,12/16/2024,Rio de Janeiro,Brasil,0.5,sunrise hike to look over rio at the top of the vidigal favela
tortuga bay,snorkeling,01/19/2025,Santa Cruz,Ecuador,0.5,"saw baby sharks, tutrles and one big stingray"
concha de perla,snorkeling,01/20/2025,Isabela,Ecuador,0.5,"saw lots of fish, krill and watched a mum and baby sea lion interact"
concha de perla,snorkeling,01/21/2025,Isabela,Ecuador,0.5,"saw some penguins, and swam with some sea lions"
outside concha de perla,snorkeling,01/23/2025,Isabela,Ecuador,0.5,"first time outside concha and had a mini tour with a local named jose. saw so much stuff, rays and swam through a hidden grieta"
outside concha de perla,snorkeling,01/24/2025,Isabela,Ecuador,0.25,bit of a snorkel outside but got spooked swimming alone
mul de las lagrimas,hiking,01/25/2025,Isabela,Ecuador,1,"hiked to the wall of tears, view points, mangroves and lava tunnels"
concha de perla,snorkeling,01/26/2025,Isabela,Ecuador,0.25,quick snorkel with the american student and family I started living with for a while
outside concha de perla,snorkeling,01/29/2025,Isabela,Ecuador,0.25,snorkel at low tide to see a lot of stingrays
concha de perla,snorkeling,01/30/2025,Isabela,Ecuador,0.25,"snorkel with bad visibility, many turtles"
concha de perla,snorkeling,01/31/2025,Isabela,Ecuador,0.25,snorkel with mediocre visibility. almost hit a stingray. finally saw octopuses
concha de perla,snorkeling,02/02/2025,Isabela,Ecuador,0.25,snorkel to swim with sea lions
concha de perla,snorkeling,02/03/2025,Isabela,Ecuador,0.1,short snorkel and walk along rocks
outside concha de perla,snorkeling,02/05/2025,Isabela,Ecuador,0.1,Leas last snorkel. brought her outside concha
outside concha de perla,snorkeling,02/06/2025,Isabela,Ecuador,0.25,snorkeling with the whole group out past concha. swam with a shark
concha de perla,snorkeling,02/07/2025,Isabela,Ecuador,0.1,snorkel to see a pile of sea pancakes
ceviche making,food,02/07/2025,Isabela,Ecuador,0.25,learned how to make some ceviche with the local guys
muelle de tijeretas,snorkeling,02/10/2025,San Cristobal,Ecuador,0.25,watched some sea lions play
muelle de tijeretas,snorkeling,02/11/2025,San Cristobal,Ecuador,0.25,played with a whole family of sea lions
la loberia,relaxing,02/12/2025,San Cristobal,Ecuador,0.5,walked in the heat to visit a mediocre beach to hang out at
muelle de tijeretas,snorkeling,02/13/2025,San Cristobal,Ecuador,0.25,gitta and i swam with more sea lions and gave one a lemon to play with
semuc champey,relaxing ,02/21/2025,Lanquin,Guatemala,0.5,hanging out at a natural bridge covered by natural spring fed pools
chichicastenango market,culture,02/23/2025,Chichicastenango,Guatemala,0.5,went to the biggest market in guatemala to wander around
paddle boarding,water sports,02/25/2025,San Pedro de la laguna,Guatemala,0.1,paddle boarding to see volcano atitlan and relax in the sun
paddle boarding,water sports,02/28/2025,Santa Cruz de la laguna,Guatemala,0.1,sunrise paddle boarding session that ended in bad winds and a boat having to save two girls in the water
morning yoga,yoga,02/28/2025,Santa Cruz de la laguna,Guatemala,0.1,calm morning led yoga practice to relax after the chaos
snorkeling at bando beach,snorkeling,03/09/2025,Utila,Honduras,0.1,"really warm water and lots of sea grass before seeingsome dead coral, then live coral and a beautiful blue drop off"
snorkeling at airport caves,snorkeling,03/10/2025,Utila,Honduras,0.1,terrible walk into the water and then some lovely coral reefs and fish
laguna de apoyo,relaxing,03/18/2025,Granada,Nicaragua,0.5,"relaxing day walking to get to a crater lake, then relaxing in the water"
ometepe scooter,motorcycle,03/20/2025,Ometepe,Nicaragua,0.25,drove around a bit enjoying the scooter and seeing some towns
ometepe scooter,motorcycle,03/21/2025,Ometepe,Nicaragua,0.5,looped around the whole island on paved and dirt roads
