date,total_num_transports,primary_transport,night_travel_ratio,hours_per_transit,activity_time,is_activity,is_tour,novelty_flag,activity_type
2024-03-05,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,5.0
2024-03-06,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,1.0,4.0,0.0,1.0,8.0,0.0,1.0,1.0,2.0
2024-03-09,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0
2024-03-10,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0
2024-03-11,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0
2024-03-12,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0
2024-03-13,1.0,4.0,0.0,0.5,8.0,1.0,0.0,1.0,2.0
2024-03-14,2.0,3.0,0.0,0.5,8.0,1.0,0.0,0.0,2.0
2024-03-15,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,3.0
2024-03-16,2.0,4.0,0.8571428571428571,0.875,4.0,0.0,1.0,1.0,5.0
2024-03-19,2.0,3.0,0.0,2.0,8.0,1.0,0.0,1.0,2.0
2024-03-21,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,5.0
2024-03-22,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-03-24,1.0,3.0,0.0,3.0,2.0,1.0,0.0,1.0,2.0
2024-03-25,0.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,2.0
2024-03-27,1.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
2024-03-28,2.0,4.0,0.0,0.5,8.0,1.0,0.0,1.0,2.0
2024-03-29,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,5.0
2024-03-30,2.0,3.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0
2024-03-31,2.0,4.0,0.0,4.0,8.0,0.0,1.0,1.0,3.0
2024-04-01,1.0,3.0,1.0,9.0,8.0,0.0,1.0,1.0,5.0
2024-04-04,1.0,3.0,0.0,1.5,4.0,1.0,0.0,1.0,2.0
2024-04-05,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,5.0
2024-04-06,1.0,3.0,0.0,3.0,2.0,1.0,0.0,1.0,2.0
2024-04-07,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0
2024-04-09,2.0,3.0,0.75,8.0,0.0,0.0,0.0,0.0,0.0
2024-04-11,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0
2024-04-12,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0
