Date,Account,Category,Subcategory,Note,CAD,Income/Expense,Description,Amount,Currency,Account
09/25/2025 0:08:37,Card,Other,,Sending Rochelle's batteries,6.69,Expense,,90,ZAR,6.69
09/25/2025 0:08:27,Card,🍜 Food,,Panini,2.6,Expense,,35,ZAR,2.6
09/24/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/23/2025 21:34:49,Cash,🎁 Gift,,Handful of beaded animals,19.32,Expense,,260,ZAR,19.32
09/23/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/23/2025 4:25:48,Card,✒️ Tattoo,,Wild dog tattoo TOTS,489,Expense,,6050,ZAR,489
09/23/2025 2:26:25,Card,🧥 Apparel,,Rip curl shirt,11.89,Expense,,160,ZAR,11.89
09/23/2025 2:26:25,Card,🍜 Food,,Snacks,3.05,Expense,,41,ZAR,3.05
09/23/2025 2:26:25,Card,🧵 Crafting,,Embroidery thread,7.13,Expense,,96,ZAR,7.13
09/22/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/22/2025 13:31:37,Card,🍜 Food,,Seafood dinner,18.58,Expense,,250,ZAR,18.58
09/22/2025 13:31:37,Card,🍜 Food,,Tacos,22.29,Expense,,300,ZAR,22.29
09/22/2025 8:20:53,Card,🌎 Adventure,,Surf board rental muizenberg,7.8,Expense,,105,ZAR,7.8
09/22/2025 8:20:53,Card,🍜 Food,,Coffee with rochelle,5.28,Expense,,71,ZAR,5.28
09/21/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/21/2025 9:22:04,Card,👬🏻 Social Life,,Beers with marco,7.8,Expense,,105,ZAR,7.8
09/20/2025 15:00:00,Card,🧥 Apparel,,Underwear x3,17.83,Expense,,240,ZAR,17.83
09/20/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/20/2025 12:38:19,Card,🍜 Food,,Wok bar dinner,17.46,Expense,,235,ZAR,17.46
09/19/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/19/2025 6:35:10,Card,🎁 Gift,,Plant for lemaryn,5.57,Expense,,75,ZAR,5.57
09/19/2025 6:35:10,Card,🍜 Food,,Snacks food lovers,4.46,Expense,,60,ZAR,4.46
09/19/2025 5:53:31,Card,🍜 Food,,Perlemoen,11.52,Expense,,155,ZAR,11.52
09/18/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
