tour,type,date,location,country,length (days),explaination
cartegena walking tour,culture,04/05/2024,Cartagena,Colombia,0.25,walking tour talking about the history of cartegena
ciudad perdida,hiking,03/08/2024,Santa Marta,Colombia,5,hiking to the lost city of the tayrona people in the sierra nevada. lots of ticks
taganga diving,scuba diving,03/15/2024,Taganga,Colombia,1,diving in the reefs near tayrona national park
el centro walking tour,culture,03/16/2024,Medellín,Colombia,0.5,walking tour through the center of medellin discussing the war
comuna 13,culture,03/21/2024,Medellín,Colombia,0.5,walking tour discussing the war and redevelopment of comuna 13 and its up and coming arts scene
coffee tour,food,03/29/2024,Salento,Colombia,0.5,coffee farm where they explained how they grow coffee and harvet it
los nevados parque nacional,nature,03/31/2024,Manizales,Colombia,1,"went up to see the glaciers in colombia, which felt like walking on the moon. relaxed at some host springs"
bogota bike tour,culture,04/01/2024,Bogotá,Colombia,1,biked around bogota learning about the history of the war and main infrastructure and locations
catedral de sal,culture,04/05/2024,Zipaquirá,Colombia,1,spent too much money to see jesus in an underground church. was a wild ride of religion and tourism
salsa class,dancing,04/11/2024,Cali,Colombia,0.1,took a salsa class with the amazing Christien who is so much fun to dance with
tomb horse riding,horse riding,04/14/2024,San Agustín,Colombia,1,amazing riding tour to learn about the history of the unknown tribe that lived in the area and seeing the tombs they created
quito walking tour,culture,04/20/2024,Quito,Ecuador,0.25,walking tour showing the history of quito
cotopaxi,hiking,04/21/2024,Cotopaxi,Ecuador,1,"hiked up to the refuge at cotopaxi. nice hike, but covered in clouds"
chocolate tour,food,04/22/2024,Mindo,Ecuador,0.1,explaination of how they gorw and make chocolate. great choclate tasting
canyoning,adventure,04/26/2024,Baños,Ecuador,0.5,"climbing down a set of waterfalls, and jumping off the last one"
white water rafting,adventure,04/26/2024,Baños,Ecuador,0.5,white water rafting down the pastaza river
white water rafting,adventure,05/01/2024,Baños,Ecuador,0.5,white water rafting down the pastaza river
cuenca walking tour,culture,05/09/2024,Cuenca,Ecuador,0.5,the longest walking tour ever learning about the religious history of cuenca
surf lesson,surfing,05/16/2024,Huanchaco,Peru,0.5,pretty bad surf lesson where we got pushed on white wash waves. waste of money
laguna 69,hiking,05/24/2024,Huarez,Peru,1,stunning hike seeing glaciers and going up to an amazing blue lake
horse riding with Maria,horse riding,05/25/2024,Huarez,Peru,1,horse riding up to a none existent view point on the worst horses ever
huayhuash trek,hiking,05/27/2024,Huarez,Peru,8,multi day trek around the stunning cordillera huayhuash. second most beautiful trek in the world
sand skiing,adventure,06/10/2024,Huacachina,Peru,0.5,sand skiing down the dunes of huacachina and dune buggy ripping
nazca planetarium,culture,06/12/2024,Cusco,Peru,0.1,historical talk about the Nazca lines and Maria Reiche who dedicated her life to protecting them
palcoyo mountain,hiking,06/23/2024,Cusco,Peru,1,going to see the mountains that have multiple minerals giving it rainbow colouring
arequipa walking tour,culture,06/26/2024,Arequipa,Peru,0.25,historical walking tour of the downtown of arequipa
uros floating islands,kayaking,07/02/2024,Puno,Peru,0.5,there are a bunch of floating island made out of reeds that people live on. 
cholitas,wrestling,07/06/2024,La Paz,Bolivia,0.25,women and men in traditional garb fighting it out in the most hilarious wrestling matches
death road,biking,07/08/2024,La Paz,Bolivia,1,mountain biking from high up along the death road into the rain forest. didnt die. could see how people did
crazy dave,culture,07/10/2024,La Paz,Bolivia,0.5,amazing. crazy dave!
pampas amazon tour,wildlife,07/12/2024,Rurrenabaque,Bolivia,3,trip into the floodlands of the amazon where we spent most of our time on a boat viewing wildlife (caimen and alligators)
